Preferred Label;Synonyms;Definitions
Charcot-Marie-Tooth disease axonal type Q;autosomal dominant Charcot-Marie-Tooth disease type 2Q|Charcot-Marie-Tooth neuropathy type 2Q|autosomal dominant axonal Charcot-Marie-Tooth disease type 2Q|CMT2Q;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in a heterozygous loss-of-function mutation in the DHTKD1 gene on chromosome 10p14.
Charcot-Marie-Tooth disease axonal type S;Charcot-Marie-Tooth neuropathy type 2S|autosomal recessive axonal Charcot-Marie-Tooth type 2S|CMT2S|Charcot-Marie-Tooth disease type 2S;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in homozygous or compound heterozygous mutation in the IGHMBP2 gene on chromosome 11q13.
Charcot-Marie-Tooth disease axonal type T;CMT2T|Charcot-Marie-Tooth neuropathy type 2T|autosomal recessive axonal Charcot-Marie-Tooth disease type 2T|AR-CMT2T;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in homozygous or compound heterozygous mutation in the MME gene on chromosome 3q25.
Charcot-Marie-Tooth disease axonal type U;Charcot-Marie-Tooth neuropathy type 2U|autosomal dominant axonal Charcot-Marie-Tooth disease type 2U|CMT2U|autosomal dominant Charcot-Marie-Tooth disease type 2U;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the MARS gene on chromosome 12q13.
Charcot-Marie-Tooth disease axonal type V;autosomal dominant axonal Charcot-Marie-Tooth disease type 2V|CMT2V|Charcot-Marie-Tooth neuropathy type 2V|autosomal dominant Charcot-Marie-Tooth disease type 2V;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the NAGLU gene on chromosome 17q21.
Charcot-Marie-Tooth disease axonal type X;Charcot-Marie-Tooth neuropathy type 2X|autosomal recessive axonal Charcot-Marie-Tooth disease type 2X;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in homozygous or compound heterozygous mutation in the SPG11 gene on chromosome 15q21.
Charcot-Marie-Tooth disease axonal type Z;CMT2Z|Charcot-Marie-Tooth neuropathy type 2Z|autosomal dominant axonal Charcot-Marie-Tooth disease type 2Z;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the MORC2 gene on chromosome 22q12.
Charcot-Marie-Tooth disease dominant intermediate A;CMTDIA|DI-CMTA|Charcot-Marie-Tooth neuropathy dominant intermediate A|autosomal dominant intermediate Charcot-Marie-Tooth disease type A;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in variation in the region 10q24.1-q25.1.
Charcot-Marie-Tooth disease dominant intermediate B;DI-CMTB|CMTDIB|CMTDI1|Charcot-Marie-Tooth neuropathy dominant intermediate B;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in mutation in the gene encoding dynamin-2 (DNM2).
Charcot-Marie-Tooth disease dominant intermediate D;DI-CMTD|CMTDID|Charcot-Marie-Tooth neuropathy dominant intermediate D|autosomal dominant intermediate Charcot-Marie-Tooth disease type D;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in heterozygous mutation in the myelin protein-zero gene (MPZ) on chromosome 1q23.
Charcot-Marie-Tooth disease dominant intermediate E;CMTDIE|autosomal dominant intermediate Charcot-Marie-Tooth disease type E|Charcot-Marie-Tooth disease-nephropathy syndrome|Charcot-Marie-Tooth neuropathy with focal segmental glomerulonephritis;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in heterozygous mutation in the INF2 gene on chromosome 14q32.
Charcot-Marie-Tooth disease dominant intermediate F;autosomal dominant intermediate Charcot-Marie-Tooth disease type F|CMTDIF;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in heterozygous mutation in the GNB4 gene on chromosome 3q28.
Charcot-Marie-Tooth disease intermediate type;Charcot-Marie-Tooth disease dominant intermediate|Charcot-Marie-Tooth disease recessive intermediate;A Charcot-Marie-Tooth disease characterized by motor conduction velocities above and below 38 m/s.|Xref MGI.
Charcot-Marie-Tooth disease intermediate type;;DOID:0050543
Charcot-Marie-Tooth disease recessive intermediate A;Charcot-Marie-Tooth neuropathy recessive intermediate A|RI-CMTA|CMTRIA|autosomal recessive intermediate Charcot-Marie-Tooth disease type A;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in homozygous mutation in the GDAP1 gene on chromosome 8q21.
Charcot-Marie-Tooth disease recessive intermediate B;Charcot-Marie-Tooth neuropathy recessive intermediate B|autosomal recessive intermediate Charcot-Marie-Tooth disease type B|RI-CMTB|CMTRIB;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in compound heterozygous mutation in the KARS gene on chromosome 16q23.
Charcot-Marie-Tooth disease recessive intermediate C;RI-CMT type C|RI-CMTC|autosomal recessive intermediate Charcot-Marie-Tooth disease type C|CMTRIC;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in homozygous or compound heterozygous mutation in the PLEKHG5 gene on chromosome 1p36.
Charcot-Marie-Tooth disease recessive intermediate D;RI-CMT type D|autosomal recessive intermediate Charcot-Marie-Tooth disease type D|CMTRID;A Charcot-Marie-Tooth disease intermediate type that has_material_basis_in homozygous mutation in the COX6A1 gene on chromosome 12q24.
Charcot-Marie-Tooth disease type ;hereditary motor and sensory neuropathy type 1;A Charcot-Marie-Tooth disease characterized by demyelination of the peripheral nerve axons.|OMIM mapping confirmed by DO. [SN].
Charcot-Marie-Tooth disease type A;autosomal dominant Charcot-Marie-Tooth disease with focally folded myelin sheaths type 1A|CMT1A|microduplication 17p12|Charcot-Marie-Tooth neuropathy type 1A|HMSN1A|hereditary motor and sensory neuropathy 1A;A Charcot-Marie-Tooth disease type 1 that has_material_basis_in duplication of, or mutation in, the gene encoding peripheral myelin protein-22 (PMP22).
Charcot-Marie-Tooth disease type B;peroneal muscular atrophy|hereditary motor and sensory neuropathy IB|Charcot-Marie-Tooth disease slow nerve conduction type linked to Duffy|CMT1B|HMSN1B|autosomal dominant Charcot-Marie-Tooth disease with focally folded myelin sheaths type 1B |Charcot-Marie-Tooth neuropathy type 1B|HMSN IB;A Charcot-Marie-Tooth disease type 1 that has_material_basis_in heterozygous mutation in the gene encoding myelin protein zero (MPZ).
Charcot-Marie-Tooth disease type C;neuropathy hereditary motor and sensory type 1C|CMT slow nerve conduction type C|HMSN1C|CMT1C|HMSN IC|Charcot-Marie-Tooth neuropathy type 1C;A Charcot-Marie-Tooth disease type 1 that has_material_basis_in heterozygous mutation in the LITAF gene on chromosome 16p13.
Charcot-Marie-Tooth disease type D;HMSN1D|HMSN ID|CMT1D|hereditary motor and sensory neuropathy 1D|Charcot-Marie-Tooth neuropathy type 1D;A Charcot-Marie-Tooth disease type 1 that has_material_basis_in mutation in the early growth response gene-2 (EGR2).
Charcot-Marie-Tooth disease type E;CMT1E|Charcot-Marie-Tooth disease demyelinating type 1E|Charcot-Marie-Tooth disease and deafness|autosomal dominant Charcot-Marie-Tooth neuropathy and deafness|Charcot-Marie-Tooth disease-deafness;A Charcot-Marie-Tooth disease type 1 that has_material_basis_in autosomal dominant mutation in the peripheral myelin protein-22 gene (PMP22)
Charcot-Marie-Tooth disease type F;CMT1F|Charcot-Marie-Tooth neuropathy type 1F;A Charcot-Marie-Tooth disease type 1 that has_material_basis_in mutation in the NEFL gene.
Charcot-Marie-Tooth disease type ;hereditary motor and sensory neuropathy type 2|hereditary motor and sensory neuropathy Okinawa type|hereditary motor and sensory neuropathy Guadalajara neuronal type;A Charcot-Marie-Tooth disease characterized by abnormalities in the axon of the peripheral nerve cell.|Xref MGI.
Charcot-Marie-Tooth disease type ;;DOID:0050539
Charcot-Marie-Tooth disease type A;HMSN IIA1|autosomal dominant Charcot-Marie-Tooth disease axonal type 2A1|hereditary motor and sensory neuropathy IIA1|Charcot-Marie-Tooth disease neuronal type 2A1|HMSN2A1|Charcot-Marie-Tooth neuropathy type 2A1|CMT2A1;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the KIF1B gene on chromosome 1p36.
Charcot-Marie-Tooth disease type A;Charcot-Marie-Tooth neuropathy type 2A2|HMSN IIA2|hereditary motor and sensory neuropathy IIA2|Charcot-Marie-Tooth neuronal type 2A2|CMT2A2|HMSN2A2|autosomal dominant axonal Charcot-Marie-Tooth disease type 2A2;A Charcot-Marie-Tooth disease type 2  that has_material_basis_in heterozygous mutation in the MFN2 gene on chromosome 1p36.2.
Charcot-Marie-Tooth disease type B;HMSN IIB|Charcot-Marie-Tooth neuropathy type 2B|CMT2B|autosomal dominant Charcot-Marie-Tooth disease type 2B|HMSN2B|hereditary motor and sensory nueropathy IIB;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the RAB7 gene on chromosome 3q21.
Charcot-Marie-Tooth disease type B;autosomal recessive axonal CMT4C1|autosomal recessive Charcot-Marie-Tooth disease type 2B1|Charcot-Marie-Tooth disease neuronal type 2B1|CMT2B1|Charcot-Marie-Tooth neuropathy type 2B1|autosomal recessive axonal Charcot-Marie-Tooth disease type 2B1;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in homozygous mutation in the lamin A/C gene (LMNA) on chromosome 1q22.
Charcot-Marie-Tooth disease type B;Autosomal recessive axonal CMT4C3|CMT2B2|autosomal recessive axonal Charcot-Marie-Tooth disease type 2B2|ARCMT2B|Charcot-Marie-Tooth neuropathy type 2B2|AR-CMT2B2|Charcot-Marie-Tooth disease neuronal type 2B2;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in homozygous mutation in the MED25 gene.
Charcot-Marie-Tooth disease type D;Charcot-Marie-Tooth disease neuronal type 2D|Charcot-Marie-Tooth neuropathy type 2D|autosomal dominant Charcot-Marie-Tooth disease type 2D|CMT2D;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in mutation in the gene encoding glycyl tRNA synthetase (GARS).
Charcot-Marie-Tooth disease type E;Charcot-Marie-Tooth neuropathy type 2E|autosomal dominant Charcot-Marie-Tooth disease type 2E|CMT2E;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the light polypeptide neurofilament protein gene (NEFL) on chromosome 8p21.
Charcot-Marie-Tooth disease type I;Charcot-Marie-Tooth neuropathy type 2I|CMT2I;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the myelin protein-zero gene (MPZ) on chromosome 1q23.
Charcot-Marie-Tooth disease type J;Charcot-Marie-Tooth neuropathy type 2J|CMT2J|Charcot-Marie-Tooth disease type 2 with hearing loss and pupillary abnormalities;A Charcot-Marie-Tooth disease type 2 characterized by hearing loss and pupillary abnormalities and has_material_basis_in heterozygous mutation in the myelin protein-zero gene (MPZ) on chromosome 1q23.
Charcot-Marie-Tooth disease type R;autosomal recessive axonal Charcot-Marie-Tooth disease type 2R|CMT2R|Charcot-Marie-Tooth neuropathy type 2R;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in homozygous or compound heterozygous mutation in the TRIM2 gene on chromosome 4q.
Charcot-Marie-Tooth disease type Y;CMT2Y|autosomal dominant axonal Charcot-Marie-Tooth type 2Y|CMT2 due to VCP mutation|autosomal dominant Charcot-Marie-Tooth disease type 2 due to VCP mutation|Charcot-Marie-Tooth neuropathy type 2Y;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the VCP gene on chromosome 9p13.
Charcot-Marie-Tooth disease type ;DEJERINE-SOTTAS NEUROPATHY|DEJERINE-SOTTAS SYNDROME;OMIM mapping confirmed by DO. [SN].
Charcot-Marie-Tooth disease type ;hereditary motor and sensory neuropathy;A Charcot-Marie-Tooth disease characterized by demyelinating or axonal abnormalities that has_material_basis_in autosomal recessive inheritance.|Xref MGI.
Charcot-Marie-Tooth disease type ;;DOID:0050541
Charcot-Marie-Tooth disease type A;Charcot-Marie-Tooth neuropathy type 4A|autosomal recessive demyelinating Charcot-Marie-Tooth disease type 4A|CMT4A;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in mutation in the gene encoding ganglioside-induced differentiation-associated protein-1 (GDAP1) on chromosome 8q21.
Charcot-Marie-Tooth disease type B;autosomal recessive Charcot-Marie-Tooth disease with focally folded myelin sheaths type 4B1|Charcot-Marie-Tooth neuropathy type 4B1|CMT4B1;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in mutation in the gene encoding the myotubularin-related protein-2 (MTMR2).
Charcot-Marie-Tooth disease type B;autosomal recessive Charcot-Marie-Tooth disease with focally folded myelin sheaths type 4B2|Charcot-Marie-Tooth neuropathy type 4B2|CMT4B2;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in mutation in the SBF2 gene.
Charcot-Marie-Tooth disease type B;CMT4B3;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in homozygous or compound heterozygous mutation in the SBF1 gene on chromosome 22q.
Charcot-Marie-Tooth disease type C;CMT4C|Charcot-Marie-Tooth neuropathy type 4C|autosomal recessive demyelinating Charcot-Marie-Tooth disease type 4C;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in homozygous or compound heterozygous mutation in the SH3TC2 gene.
Charcot-Marie-Tooth disease type D;hereditary motor abd sensory neuropathy LOM type|CMT4D|HMSN-Lom|HMSN4D|autosomal recessive demyelinating Charcot-Marie-Tooth disease type 4D|HMSNL|Charcot-Marie-Tooth neuropathy type 4D|HMSN Lom type;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in homozygous mutation in the N-myc downstream-regulated gene-1 (NDRG1) on chromosome 8q24.
Charcot-Marie-Tooth disease type E;Neuropathy, congenital hypomyelinating, 1|CMT4E|autosomal recessive congenital hypomyelinating or amyelinating neuropathy|Charcot-Marie-Tooth neuropathy type 4E;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in homozygous or heterozygous mutation in the EGR2 gene on chromosome 10q21 or by heterozygous mutation in the MPZ gene on chromosome 1q23.
Charcot-Marie-Tooth disease type F;CMT4F;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in homozygous or compound heterozygous mutation in the periaxin gene (PRX) on chromosome 19q13.
Charcot-Marie-Tooth disease type G;CMT4G|Charcot-Marie-Tooth neuropathy type 4G|HMSNR|hereditary motor and sensory neuropathy Russe type|autosomal recessive Charcot-Marie-Tooth disease type 4G;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in homozygous mutation in the HK1 gene on chromosome 10q22.
Charcot-Marie-Tooth disease type H;CMT4H|Charcot-Marie-Tooth neuropathy type 4H|autosomal recessive Charcot-Marie-Tooth disease type 4H|autosomal recessive demyelinating Charcot-Marie-Tooth disease type 4H;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in mutations in the gene encoding frabin (FGD4).
Charcot-Marie-Tooth disease type J;autosomal recessive Charcot-Marie-Tooth disease type 4J|CMT4J;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in compound heterozygous mutations in the FIG4 gene on chromosome 6q21.
Charcot-Marie-Tooth disease type K;autosomal recessive demyelinating Charcot-Marie-Tooth neuropathy type 4K|SURF1-related CMT4|SURF1-related severe demyelinating Charcot-Marie-Tooth disease|autosomal recessive demyelinating Charcot-Marie-Tooth disease type 4K|SURF1-related Charcot-Marie-Tooth disease type 4|CMT4K;A Charcot-Marie-Tooth disease type 4 that has_material_basis_in homozygous or compound heterozygous mutation in the SURF1 gene on chromosome 9q34.
Charcot-Marie-Tooth disease type ;hereditary motor and sensory neuropathy with pyramidal features;A Charcot-Marie-Tooth disease that is characterized by pyramidal features including extensor plantar responses, mild increase in tone, and preserved or increased reflexes but no spastic gait.
Charcot-Marie-Tooth disease type ;hereditary motor and sensory neuropathy type 6;A Charcot-Marie-Tooth disease that is characterized by early-onset optic atrophy resulting in progressive visual loss and peripheral axonal sensorimotor neuropathy with highly variable age at onset and severity.
Charcot-Marie-Tooth disease type ;;A Charcot-Marie-Tooth disease that is characterized by optic atrophy followed by retinitis pigmentosa.
Charcot-Marie-Tooth disease type X;Cowchock syndrome|COWCK;A Charcot-Marie-Tooth disease that has_material_basis_in X-linked inheritance of a point mutation in the connexin-32 gene.|Xref MGI.
Charcot-Marie-Tooth disease type X;;DOID:0050542
Charcot-Marie-Tooth disease X-linked dominant ;CMTX1|X-linked Charcot-Marie-Tooth disease type 1|CMT1X|Charcot-Marie-Tooth neuropathy X-linked dominant 1;A Charcot-Marie-Tooth disease X-linked that has_material_basis_in hemizygous or heterozygous mutation in the GJB1 gene on chromosome Xq13.
Charcot-Marie-Tooth disease X-linked dominant ;CMT6X|CMTX6|X-linked Charcot-Marie-Tooth disease type 6|Charcot-Marie-Tooth neuropathy X-linked dominant 6;A Charcot-Marie-Tooth disease X-linked that has_material_basis_in mutation in the PDK3 gene on chromosome Xp22.
Charcot-Marie-Tooth disease X-linked recessive ;Charcot-Marie-Tooth neuropathy X-linked recessive 2|CMTX2|X-linked Charcot-Marie-Tooth disease type 2;A Charcot-Marie-Tooth disease X-linked that has_material_basis_in variation in the region Xp22.2.
Charcot-Marie-Tooth disease X-linked recessive ;CMTX3|X-linked Charcot-Marie-Tooth disease type 3|CMT3X|Charcot-Marie-Tooth neuropathy X-linked recessive 3;A Charcot-Marie-Tooth disease X-linked that has_material_basis_in variation in the region Xq26.
Charcot-Marie-Tooth disease X-linked recessive ;axonal motor sensory neuropathy with deafness and mental retardation|CMTX4|CMT4X|NADMR|Cowchock syndrome|NAMSD|X-linked Charcot-Marie-Tooth disease type 4|COWCK|Charcot-Marie-Tooth disease with deafness and mental retardation;A Charcot-Marie-Tooth disease X-linked that has_material_basis_in mutation in the AIFM1 gene on chromosome Xq26.
Charcot-Marie-Tooth disease X-linked recessive ;X-linked Charcot-Marie-Tooth disease type 5|CMT5X|optic atrophy, polyneuropathy, and deafness|CMTX5|Rosenberg-Chutorian syndrome|Charcot-Marie-Tooth neuropathy X-linked recessive 5;A Charcot-Marie-Tooth disease X-linked that has_material_basis_in loss-of-function mutation in the PRPS1 gene on chromosome Xq22.
Charcot-Marie-Tooth disease, axonal type W;Charcot-Marie-Tooth neuropathy type 2W|CMT2W|autosomal dominant axonal Charcot-Marie-Tooth disease type 2W;A Charcot-Marie-Tooth disease type 2 that has_material_basis_in heterozygous mutation in the HARS gene on chromosome 5q31.
CHARGE syndrome;CHARGE association;A syndrome that is acterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart, inner ear, and retina.
Charlevoix-Saguenay spastic ataxia;;
Chediak-Higashi syndrome;Chediak - Steinbrinck anomaly|CHS;An autosomal recessive disease characterized by oculocutaneous albinism, immune deficiency, coagulation deficiency and neuropathy
cheek mucosa cancer;malignant neoplasm of buccal mucosa|malignant neoplasm of cheek, inner aspect|malignant tumor of buccal mucosa disorder|malignant neoplasm of the Buccal Mucosa;
cheilitis;;A lip disease characterized by the inflammation of the lips
cheilopalatoschisis;Unilateral complete cleft palate with cleft lip disorder|Unilateral incomplete cleft palate with cleft lip|cleft palate with cleft lip, unilateral, complete|Unilateral complete cleft palate with cleft lip|Complete unilateral cleft palate with cleft lip disorder|Unilateral incomplete cleft palate with cleft lip disorder|cleft palate with cleft lip, unilateral, incomplete|incomplete unilateral cleft palate with cleft lip disorder;
chemical colitis;;A colitis caused_by introduction of various chemicals.
cherry allergy;Prunus avium fruit allergy;A fruit allergy triggered by Prunus avium plant fruit food product.
cherubism;;OMIM mapping confirmed by DO. [SN].
chest wall bone cancer;malignant bone tumor of the Chest Wall|malignant bone neoplasm of chest wall;A bone cancer and malignant neoplasm of chest wall that is located_in the chest wall.
chest wall lipoma;Lipoma of the Chest Wall;
chest wall lymphoma;chest wall cancer|Lymphoma of the Chest Wall|malignant neoplasm of chest wall|lymphoma of chest wall|malignant neoplasm of chest wall NOS disorder|malignant tumor of Chest Wall;A thoracic cancer that is located_in the chest wall.
chest wall parachordoma;Parachordoma of the Chest Wall;
chiasmal syndrome;disorder of optic chiasm|chiasma syndrome;An optic nerve disease that is characterized by lesions of the optic chiasm, manifesting as various impairments of the sufferer's visual field according to the location of the lesion along the optic nerve.
chicken egg allergy;Gallus gallus egg allergy;An egg allergy triggered by Gallus gallus eggs.
chickenpox;varicella;A viral infectious disease that results_in infection located_in skin, has_material_basis_in Human herpesvirus 3, which is transmitted_by direct contact with secretions from the rash, or transmitted_by droplet spread of respiratory secretions. The infection has_symptom anorexia, has_symptom myalgia, has_symptom nausea, has_symptom fever, has_symptom headache, has_symptom sore throat, and has_symptom blisters.
chief cell adenoma;Chief cell adenoma of Parathyroid gland;
chikungunya;Chikungunya fever;A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus, which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.
Chilblain lupus;;
child nutrition disorder;;
childhood absence epilepsy;pyknolepsy|petit mal seizure|absence seizure;A childhood electroclinical syndrome that is characterized by brief and frequent absence seizures in children with age of onset between four and ten years.
childhood acute lymphocytic leukemia;Childhood Acute Lymphoblastic Leukemia;An acute lymphocytic leukemia occuring during childhood.
childhood botryoid rhabdomyosarcoma;childhood sarcoma Botryoides;
childhood brain germinoma;germinoma of the pediatric brain;
childhood brain meningioma;pediatric meningioma of brain;
childhood brain stem glioma;pediatric glioma of the Brainstem;
childhood brain stem neoplasm;pediatric tumor of Brainstem;
childhood brain tumor;pediatric neoplasm of brain;
childhood brainstem astrocytoma;;
childhood cancer of liver;pediatric carcinoma of the Liver cell|pediatric cancer of the Liver;
childhood central nervous system germinoma;;
childhood central nervous system immature teratoma;;
childhood central nervous system mature teratoma;;
childhood central nervous system mixed germ cell tumor;;
childhood central nervous system primitive neuroectodermal neoplasm;pediatric CNS PNET;
childhood cerebellar astrocytic neoplasm;pediatric astrocytoma of Cerebellum;
childhood cerebellar neoplasm;pediatric tumor of Cerebellum;
childhood cerebral astrocytoma;pediatric astrocytoma of Cerebrum;
childhood cerebral diffuse astrocytoma;;
childhood choriocarcinoma of the ovary;pediatric Choriocarcinoma of Ovary;
childhood choriocarcinoma of the testis;pediatric testicular Choriocarcinoma;
childhood choroid plexus cancer;childhood choroid plexus neoplasm;
childhood disintegrative disease;Heller's syndrome|Symbiotic psychosis|Disintegrative psychosis NOS disorder;A pervasive developmental disorder that is a rare condition characterized by late onset (>3 years of age) of developmental delays in language, social function, and motor skills where children who have had previously normal development who then appear to regress.
childhood electroclinical syndrome;;An electroclinical syndrome with onset in childhood between one and 12 years of age.
childhood embryonal testis carcinoma;pediatric testicular Embryonal carcinoma|childhood embryonal carcinoma of the testis;An embryonal testis carcinoma that occurs in children.
childhood endodermal sinus tumor;childhood endodermal sinus neoplasm|pediatric Yolk Sac tumor;An endodermal sinus tumor that occurs in children.
childhood extraosseous osteosarcoma;pediatric extraskeletal Osteosarcoma;
childhood germ cell brain tumor;germ cell neoplasm of the pediatric brain;
childhood hypophosphatasia;;A hypophosphatasia that has_material_basis_in an autosomal recessive mutation of ALPL on chromosome 1p36.12.
childhood immature teratoma of ovary;pediatric Immature teratoma of Ovary;
childhood infratentorial neoplasm;pediatric Infratentorial tumor;
childhood intracortical osteosarcoma;;
childhood intracranial neoplasm;;
childhood kidney angiomyolipoma;pediatric renal Angiomyolipoma;
childhood kidney cell carcinoma;pediatric renal cell carcinoma;
childhood kidney neoplasm;pediatric renal tumor;
childhood leukemia;;A leukemia that occurs in children.
childhood liver neoplasm;;
childhood malignant central nervous system neoplasm;malignant pediatric tumor of CNS;
childhood malignant hemangiopericytoma;malignant pediatric hemangiopericytoma;
childhood malignant mesenchymoma;;
childhood malignant schwannoma;pediatric MPNST;
childhood mature teratoma of the ovary;pediatric Mature teratoma of Ovary;
childhood mediastinal neurogenic tumor;pediatric neurogenic tumor of mediastinum;
childhood medulloblastoma;pediatric Medulloblastoma;
childhood multilocular cystic kidney neoplasm;pediatric Multilocular cystic renal tumor|benign Multilocular cystic renal tumor;A childhood renal Wilms cancer that occurs in children. It encompasses two histologically distinct but grossly indistinguishable lesions: cystic nephroma and cystic partially differentiated nephroblastoma (CPDN).
childhood oligodendroglioma;pediatric Oligodendroglioma;
childhood onset epileptic encephalopathy;EEOC;An idiopathic generalized epilepsy characterized by onset of multiple seizure types in the first few years of life and associated with poor prognosis. Affected individuals have cognitive regression and intellectual disability.
childhood onset GLUT deficiency syndrome ;;A dystonia characterized by autosomal dominant inheritance of paroxysmal exercise-induced dyskinesia involving transient abnormal involuntary movements in the exercised limbs that has_material_basis_in heterozygous mutation in the SLC2A1 gene on chromosome 1p34.
childhood optic nerve glioma;glioma of the pediatric visual pathway;
childhood optic tract astrocytoma;pediatric visual pathway astrocytoma;
childhood ovarian embryonal carcinoma;pediatric Embryonal carcinoma of Ovary|childhood embryonal carcinoma of the ovary;An ovarian embryonal carcinoma that occurs in childhood.
childhood ovarian endodermal sinus tumor;childhood ovarian endodermal sinus neoplasm|pediatric Ovarian Yolk Sac tumor;
childhood parosteal osteogenic sarcoma;;
childhood pilocytic astrocytoma;pediatric Pilocytic astrocytoma;
childhood pleomorphic rhabdomyosarcoma;childhood anaplastic Rhabdomyosarcoma;
childhood precursor T-lymphoblastic lymphoma/leukemia;;
childhood schizophrenia;childhood Schizophrenia|childhood schizophrenia NOS disorder|childhood schizophrenia|childhood schizophrenia NOS|Schizophrenic syndrome of childhood NOS;
childhood soft tissue sarcoma;pediatric sarcoma of the soft tissue;A sarcoma that affects children and is located_in the soft tissues of the body.
childhood spinal cord tumor;childhood Spinal Cord neoplasm;
childhood supratentorial neoplasm;pediatric Supratentorial tumor;
childhood teratocarcinoma of the testis;pediatric testicular Teratocarcinoma;
childhood teratoma of the ovary;pediatric teratoma of Ovary;
childhood testicular endodermal sinus neoplasm;pediatric testicular Yolk Sac tumor;
childhood testicular mixed germ cell tumor;pediatric testicular mixed germ cell tumor;
childhood type dermatomyositis;Juvenile dermatomyositis|childhood Dermatomyositis;
childhood vagina botryoid rhabdomyosarcoma;vaginal childhood sarcoma Botryoides;
chlamydia;chlamydial disease|Chlamydial Infection|Chlamydia trachomatis infectious disease;A commensal bacterial infectious disease that is caused by Chlamydia trachomatis.
Chlamydia trachomatis epididymitis;;
Chlamydia trachomatis peritonitis;venereal disease of peritoneum due to Chlamydia trachomatis;
Chlamydia trachomatis pharyngitis;venereal disease of pharynx due to Chlamydia trachomatis;
Chlamydia trachomatis proctitis;Venereal disease of the anus and rectum due to Chlamydia trachomatis|Chlamydial infection of anus and rectum disorder;
Chlamydia trachomatis urethritis;Chlamydial urethritis disorder|Chlamydial infection of lower genitourinary tract disorder|Nongonococcal urethritis due to Chlamydia trachomatis disorder|NGU due to Chlamydia trachomatis;
Chlamydophila infectious disease;;
Chlamydophila pneumoniae infectious disease;;
Chlamydophila pneumoniae pneumonia;Chlamydial pneumonia disorder|Pneumonia due to Chlamydia;A Chlamydophila infectious disease that involves Chlamydophila pneumoniae infection, characterized by interstitial infiltrates and respiratory distress.
Chlamydophila psittaci pneumonia;Ornithosis with pneumonia|Ornithosis with pneumonia disorder|louisiana pneumonia;An ornithosis involving Chlamydophila psittaci infection, contracted by inhaling dust from the feathers or the waste of infected birds. The symptoms include fever, chills, fatigue, and loss of appetite. A cough develops, which is initially dry but later brings up greenish sputum.
choanal atresia;posterior choanal atresia|Atresia of nares|Imperforate nares;OMIM mapping confirmed by DO. [SN].
cholangiocarcinoma;cholangiosarcoma|adult primary cholangiocellular carcinoma|adult primary Cholangiocarcinoma;A bile duct adenocarcinoma that has_material_basis_in bile duct epithelial cells.
cholangiolocellular carcinoma;;
cholangitis;;A bile duct disease that is an inflammation of the bile duct.
cholecystitis;acute cholecystitis disorder|chronic cholecystitis|acute cholecystitis NOS disorder|acute and chronic cholecystitis|acute cholecystitis unspecified disorder|chronic cholecystitis disorder|acute and chronic cholecystitis disorder|acute cholecystitis|acute on chronic cholecystitis;A cholangitis that is characterized_by an inflammation that is located_in the gallbladder.|OMIM mapping confirmed by DO. [SN].
cholecystolithiasis;;
choledochal cyst;Congenital choledochal cyst|Congenital choledochal cyst disorder;
choledocholithiasis;;
