Preferred Label;Synonyms
muscular coat of ureter;tunica muscularis ureteris|muscularis of ureter|muscular coat of ureter|tunica muscularis (ureter)|muscular layer of ureter|ureteral smooth muscle layer
banded nucleus;
follicular epithelial cell;
enterocyte of epithelium proper of small intestine;
Iguania;iguanian lizards|Lacertilia
glomerular parietal epithelium;capsular epithelium|parietal layer of Bowman capsule|parietal capsular epithelium|outer layer of glomerular capsule|glomerular capsule parietal layer|renal glomerular capsule epithelium|parietal epithelium of Bowman's capsule|parietal layer of glomerular capsule|parietal layer of Bowman's capsule|parietal epithelial layer|Bowman's parietal epithelium|kidney parietal epithelium
hepatic mesenchymal stem cell;
testosterone secreting cell;
mesonephric proximal tubule;
capillary endothelial cell;
transitional myocyte of sinoatrial node;transitinal myocyte of sinuatrial node
R6 photoreceptor cell;R6 cell
midbrain neural plate;
euchromatin;
thoracic segment organ;upper body organ
pigment granule;
future tongue;
nerve of trunk region;torso nerve|nerve of trunk|nerve of torso|trunk nerve
layer of retina;retinal layer|retina neuronal layer|retinal neuronal layer|retina layer
positive regulation of leukocyte migration;
cytoplasmic vesicle part;
hepatic duct;
mucosa of large intestine;organ mucosa of large intestine|large intestine organ mucosa|large intestine mucosa|tunica mucosa intestini crassi|mucosa of organ of large intestine|large intestine mucous membrane|large intestine mucosa of organ|large intestinal mucosa|mucous membrane of large intestine
basophilic myelocyte;
IgM plasma cell;
respiratory tract;
myeloid leukocyte activation;
Tylopoda;Artiodactyla
early telencephalic vesicle;early telencephalic vesicle|early telencephalic ventricle
cardiac atrium fibroblast;
uterine epithelium;uterus epithelium
thoracic segment muscle;thorax muscle organ|muscle organ of thorax|upper body muscle
chemotaxis;
CNS short range interneuron;
glioblast (sensu Nematoda and Protostomia);
outflow tract of atrium;outflow part of atrium
vascular cord;
lung vasculature;vascular network of lung|vasculature of lung|pulmonary vasculature|lung vascular network
precursor cell;
Didelphidae;opossums|American opossums
keratocyte;corneal fibroblast|corneal keratocyte
alobate;
visceral abdominal lymph node;
eosinophil differentiation;
internodal tract myocyte;
detection of temperature stimulus involved in sensory perception;
Elopocephalai;
angioblastic mesenchymal cell;chondroplast|angioblast
immature CD16-positive myeloid dendritic cell;
germinal center;central zone of follice|reaction center of follicle|light zone of follicle|lymhpoid nodule|nodule
Drosophiliti;
parathyroid gland;parathyroid|parathyroid secreting cell|epithelial body
pericardium fibroblast;
scolopidial ligament cell;
respiratory system blood vessel endothelium;
regulation of lymphocyte apoptotic process;
Peyer's patch germinal center;
positive regulation of isotype switching to IgE isotypes;
adrenal/interrenal gland;adrenal gland - interrenal gland|adrenal gland/interrenal tissue|suprarenal gland - interrenal gland|adrenal - interrenal gland
subdivision of head;head subdivision|head region|region of head
quality;
caudal part of nephrogenic cord;caudal portion of nephrogenic cord|caudal region of nephrogenic cord|rear part of nephrogenic cord|rear portion of nephrogenic cord
eye skin gland;skin glands set of camera-type eye|camera-type eye skin gland|skin glands set of vertebrate eye|vertebrate eye skin glands set|vertebrate eye skin gland|camera-type eye skin glands|skin gland of vertebrate eye|vertebrate eye skin glands|skin gland of camera-type eye|camera-type eye skin glands set|skin glands of camera-type eye|skin glands of vertebrate eye
retinal progenitor cell;
positive regulation of secretion;
multi-unit eye;
type-7 epithelial cell of thymus;spindle shaped medullary thymic epithelial cell|spindle shaped mTEC
cerebral cortex glial cell;brain cortex glial cell|cerebral cortex glial cells|cerebrum cortex glial cell
hindbrain neural plate;
hair medulla;medulla of hair shaft
hypoglossal cord;
neuroblast (sensu Nematoda and Protostomia);neuroblast
cardiac muscle tissue of ventricle;ventricular cardiac muscle tissue|ventricular heart muscle|ventricular muscle
kidney pyramid;pyramid|renal pyramid|Malpighian pyramid|medullary pyramid|Malpighian pyramid|pyramis renalis|pyramid of Malphigi|renal medullary region|Malphigian pyramid|pyramid of Malpighi|pyramides renales
dermal bone;dermal bones
mesonephric epithelium;
inhibitory motor neuron;
blastula;blastula embryo|blastosphere
embryonic crystal cell;
renal straight tubule;kidney straight tubule|straight tubule
future forebrain;presumptive forebrain|future prosencephalon|presumptive prosencephalon|prosencephalon
Dipnoi;fishes|dipnoans|fish|lungfishes|Dipnomorpha|Choanichthyes|Dipneusti|lungfishes|Osteichthyes
ectonucleotide pyrophosphatase/phosphodiesterase family member 3;phosphodiesterase I/nucleotide pyrophosphatase 3|PD-Ibeta|E-NPP 3|phosphodiesterase I beta|ENPP3|CD203c|ectonucleotide pyrophosphatase/phosphodiesterase 3|PDNP3
innate lymphoid cell;
extracellular exosome assembly;
hemostasis;
lymphocyte differentiation;
CD4-positive, alpha-beta cytotoxic T cell;CD4-positive, alpha-beta cytotoxic T-cell|CD4-positive, alpha-beta cytotoxic T lymphocyte|CD4-positive, alpha-beta cytotoxic T-lymphocyte
abdominal segment muscle;abdominal segment of trunk muscle organ|muscle organ of abdominal segment of trunk
endorphin secreting cell;
central nervous system neuron;
obsolete IgM B cell;
CD2-positive, CD5-positive, CD44-positive alpha-beta intraepithelial T cell;memory alpha beta IEL
submucosa of appendix;vermiform appendix submucosa|caecal appendix submucosa|appendiceal submucosa|vermix submucosa|submucosa of vermix|appendix submucosa|submucosa of vermiform appendix|submucosa of caecal appendix
leukocyte activation;
SIRPa-negative adipose dendritic cell;DC.SIRPa-.Ad
bottle cell;
Theria <Mammalia>;Theria
amniotic ectoderm;amnion ectoderm|amnionic ectoderm|amnion epithelium
skin of hip;zone of skin of regio coxae|zone of skin of hip region|hip region zone of skin|hip zone of skin|regio coxae zone of skin|zone of skin of hip|hip skin
pharyngeal region of foregut;pharyngeal region
hyaline cartilage tissue;hyaline cartilage|chondroid cartilage
pectoral appendage bud ectoderm;upper limb bud ectoderm|forelimb ectoderm|wing ectoderm|forelimb bud ectoderm|pectoral fin bud ectoderm|arm ectoderm
regulation of neutrophil chemotaxis;
meningeal macrophage;
medium spiny neuron;striatal medium spiny neuron|medium-sized densely spiny neuron
growth hormone releasing hormone secreting cell;GHRH secreting cell|somatocrinin secreting cell
T cell selection;
crypt of Lieberkuhn of large intestine;lieberkuhn crypt of large intestine|large intestine lieberkuhn crypt|large intestinal crypt of Lieberkuhn|large intestine intestinal gland|intestinal gland of large intestine|large intestine crypt of Lieberkuhn
platelet;anucleate thrombocyte|enucleate thrombocyte|blood platelet
mature CD8_alpha-low Langerhans cell;
vertebral mesenchymal stem cell;
acinus of lacrimal gland;lacrimal gland acinus
embryonic hemocyte;
terminal part of digestive tract;rectum|terminal section of digestive tract|rectal part of digestive tract
regular atrial cardiac myocyte;regular atrial cardiac muscle fiber|atrial myocyte|atrial cardiac muscle cell|regular cardiac muscle cell of atrium
oxyphil cell of thyroid;Askanazy cells|Hurthle cells
germ line cell;
bounding membrane of organelle;
vascular lymphangioblast;parachordal lymphangioblast
chorionic ectoderm;chorion ectoderm|chorionic epithelium|chorion epithelium
placenta blood vessel;placental vessel
female urethra;urethra feminina|urethra muliebris
gamma-delta thymocyte;gammadelta thymocyte|gd thymocyte
Leydig cell;interstitial cell|interstitial cell of Leydig
musculature of back;musculi dorsi|set of muscles of back|muscle group of back|muscles of back
luteinizing hormone secreting cell;
immature alpha-beta T cell;immature alpha-beta T lymphocyte|immature alpha-beta T-cell|immature alpha-beta T-lymphocyte
embryonic skin basal layer;outer epithelium of body|basal cell layer of skin
spiral organ of cochlea;organum spirale|spiral organ|spiral organ of Corti|cochlear spiral organ|organ of Corti|auditory papillae|Corti's organ|papilla basilaris|auditory papilla|basilar papilla
perineurium;
iridocorneal angle;anterior chamber angle
external ectoderm;surface (external) ectoderm|surface ectoderm
Nereididae;sandworms|Nereidae
Rhabditidae;
periglomerular cell;olfactory bulb glomerularal cell|glomerular layer cell|olfactory bulb (accessory) glomerular layer cell|periglomerular cell|olfactory bulb glomerular layer cell
left ovary;
epithelium of right lung;right lung epithelium|epithelial tissue of right lung|right lung epithelial tissue
ureter adventitial cell;
abdominal wall;wall of abdomen|wall of abdomen proper|paries abdominalis|abdominal wall proper|layers of the abdominal wall|paries abdominalis
olfactory epithelium;nasal cavity olfactory epithelium|olfactory sensory epithelium|main olfactory epithelium|sensory olfactory epithelium|olfactory membrane|MOE|nasal epithelium|pseudostratified main olfactory epithelium|nasal sensory epithelium
zone of skin;region of skin|skin|skin region|portion of skin|skin zone
posterior lateral line ganglion;
cortical cell of adrenal gland;adrenocortical cell|adrenal cortex cell
detection of light stimulus involved in sensory perception;
columnar cell of endocervix;
transmission of nerve impulse;
lung secretory cell;
smooth muscle tissue of bronchiole;smooth muscle tissue of lobular bronchiole
Gastropoda;gastropods|gastropods
placenta;allantoic placenta|eutherian placenta
anterior uvea;anterior vascular layer of the eyeball|anterior vascular tunic of the eye|anterior part of uveal tract|tunica vasculosa bulbosa|Haller tunica vascula|ventral uveal tract|anterior uveal tract|vasculosa oculi|ciliary body and iris
scapulocoracoid;scapulocoracoideum|scapulocoracoid cartilage|coraco-scapular cartilage|scapulo-coracoid cartilage
nose;nose|peripheral olfactory organ|nasal sac|olfactory apparatus|proboscis|nasus
T-helper 9 cell;T(H)-9 cell|T helper cells type 9|Th9
low affinity immunoglobulin gamma Fc region receptor II-b;CDw32|CD32|FcRII-b|Fc-gamma RII-b|FCGR2B|Fc-gamma-RIIb|IgG Fc receptor II-b|FCG2|IGFR2
leukocyte chemotaxis;
polymodal nocireceptor;
mature CD16-positive myeloid dendritic cell;
embryonic cell;
cuboidal oviduct epithelium;
inorganic molecular entity transmembrane transporter activity;
head mesenchyme from mesoderm;head mesenchyme derived from mesoderm|head mesenchyme from mesoderm|head mesenchyme from head mesoderm|mesenchyme derived from head mesoderm|mesenchyme from head mesoderm|cranial mesoderm|head mesoderm
erythroid progenitor cell, mammalian;blast forming unit erythroid|CFU-E|colony forming unit erythroid|erythroid stem cell|BFU-E|burst forming unit erythroid
response to abiotic stimulus;
septum;septa
male urethral gland;male urethra gland|gland of Littre|urethral gland (male)|gland of male urethra|Littre's gland|glandulae urethrales urethrae masculinae
obsolete transfer cell;intermediary cell
type D cell of small intestine;delta cell of small intestine|small intestine delta cell|small intestine D-cell
lymphoid follicle;nodular lymphoid tissue|lymphoid nodule|folliculus lymphaticus|lymphatic nodule|lymphatic follicle|nodulus lymphoideus|nodulus lymphaticus
embryonic gland hemocyte;
bronchus elastic tissue;elastic tissue of bronchus|bronchi textus connectivus elasticus|bronchial trunk textus connectivus elasticus|bronchial trunk elastic tissue|elastic connective tissue of bronchi|elastic connective tissue of bronchial trunk|textus connectivus elasticus of bronchi|elastic tissue of bronchial trunk|bronchial trunk elastic connective tissue|textus connectivus elasticus of bronchus|bronchus elastic connective tissue|bronchi elastic tissue|bronchus textus connectivus elasticus|elastic connective tissue of bronchus|textus connectivus elasticus of bronchial trunk|elastic tissue of bronchi|bronchi elastic connective tissue
endothelium of arteriole;arteriole endothelium
endocardial endothelium;endocardium endothelium|endothelium of endocardium
T follicular helper cell;T(FH)|Tfh|follicular T-cell|follicular T-helper cell|follicular helper T-cell|follicular B helper T cell|follicular helper T cell|follicular T cell
pseudostratified columnar epithelium;
mitotic cell cycle;
kidney outer medulla peritubular capillary cell;
transparent eye structure;lens
digestive system duct;duct of digestive system|duct of gastrointestinal system|gastrointestinal system duct
limb long bone;long bone of limb
muscle of manus;manus muscle|manus muscle organ|hand muscle|muscle of hand|muscle organ of manus
CD11b-positive dendritic cell;
2nd arch ectoderm;2nd pharyngeal arch ectoderm
gray matter of hindbrain;gray matter of the hindbrain
mesenteric lymph node;mesenteric node|nodi lymphoidei mesenterici
alarm substance cell;club cell
epithelial cell of anal column;
cellular protein localization;
type G enteroendocrine cell;G cell 
external ear;auricular region|auricular region of head|outer ear|auris externa
inactive chief cell of parathyoid gland;
IgM memory B cell;IgM memory B lymphocyte|memory IgM B-cell|IgM memory B-lymphocyte|memory IgM B lymphocyte|IgM memory B-cell|memory IgM B-lymphocyte|memory IgM B cell
non-neural ectoderm;non neural ectoderm|epithelial ectoderm|epidermal ectoderm|ventral ectoderm|surface ectoderm
myoepithelial cell of lactiferous gland;basal cell of lactiferous duct
keratinized squamous cell of esophagus;
multicellular organismal reproductive process;
os penis;os baculum|penile bone|penis bone|baculum
early pharyngeal endoderm;early pharyngeal arch endoderm|pharyngeal region endoderm|pharyngeal endoderm|pharyngeal arch endoderm
Percomorpharia;
lens vesicle;solid lens vesicle|hollow lens vesicle|lens mass|presumptive lens|immature lens
ependymoglial cell;ependymal astrocyte
craniocervical region;cephalic part of animal|cephalic region|cephalic area|head and neck|head or neck
cardiac muscle of right ventricle;cardiac muscle tissue of right ventricle|right ventricular cardiac muscle tissue|right ventricle cardiac muscle
left lung;
sulfur compound biosynthetic process;
Mueller cell;
amino acid transport;
cortical collecting duct;kidney cortex collecting duct|renal cortex collecting duct
positive T cell selection;
embryonic handplate;hand plate|handplate|distal part of forelimb bud
proto-oncogene c-Fos;cellular oncogene fos|proto-oncogene protein c-fos|FOS|G0/G1 switch regulatory protein 7|G0S7
CD11b-positive, CD27-positive natural killer cell;
obsolete subsidiary cell;
mechanoreceptor cell;mechanoreceptor
nephric duct;
epithelial cell of Malassez;epithelial cell rests of Malassez |epithelial debris of Malassez
granzyme B localization to T cell secretory granule;
external integument structure;
T-box transcription factor TBX21;T-box protein 21|T-cell-specific T-box transcription factor T-bet|TBX21|transcription factor TBLYM|TBLYM|TBET
tympanic membrane;myrinx|membranous wall of tympanic cavity|eardrum|paries membranaceus cavi tympani|ear drum|lateral wall of tympanic cavity|Rivinus' membrane|tympanum
inner phalangeal cell;
cavity of bone organ;bone organ cavity
apoptotic cell clearance;
white matter of limbic lobe;
zygospore;
adipocyte of epicardial fat of left ventricle;epicardial adipocyte of left ventricle|epicardial fat cell of left ventricle
iris pigment epithelial cell;
crypt of Lieberkuhn of duodenum;duodenal crypt|duodenal crypt of Lieberkuhn
obsolete degenerate megaspore;
chest blood vessel;blood vessel of anterior thoracic region|blood vessel of front of thorax|front of thorax blood vessel|blood vessel of anterolateral part of thorax|blood vessel of chest|anterior thoracic region blood vessel|anterolateral part of thorax blood vessel
striated;
Oryzias;Xenopoecilus|Orizias
gland of anal canal;gland of anal canal|gland of anus|anal sac|anal gland|rectal gland
forelimb blood vessel;blood vessel of fore limb|anteriormost limb blood vessel|blood vessel of anteriormost limb|blood vessel of forelimb|blood vessel of upper extremity|fore limb blood vessel|wing blood vessel
periodontal ligament;fibra periodontalis|periodontal fibre|periodontal fiber|peridontium|periodontium|peridental membrane|peridontal ligament|alveolodental ligament|desmodontium|PDL|peridontal ligament fiber|alveolar periosteum|peridontal membrane|peridontal ligament fibre|alveolodental membrane|odontoperiosteum|peridontal fiber|paradentium|peridontal fibre
stomach squamous epithelium;
ventral horn of spinal cord;ventral region of spinal cord|ventral horn spinal cord|anterior gray horn of spinal cord|ventral grey column of spinal cord|ventral grey horn|ventral gray matter of spinal cord|anterior horn|spinal cord ventral horn|columna grisea anterior medullae spinalis|spinal cord anterior horn|ventral gray column of spinal cord|anterior gray column of spinal cord|ventral spinal cord|anterior grey column of spinal cord|cornu anterius medullae spinalis|anterior horn (spinal cord)|anterior column of the spinal cord|ventral horns spinal cord|anterior column|ventral horn of the spinal cord
acropodium region;set of digits|acropodial region|acropodial limb segment|acropodial segment of autopod
obsolete apical cell;
L-amino acid transport;
storage cell;
dopaminergic neuron;dopaminergic cell
mesentery of hindgut;hindgut mesentery
head external integument structure;
embryonic stem cell;ESC
Elopocephala;
kidney loop of Henle ascending limb epithelial cell;
striated muscle cell differentiation;
mucosa of male urethra;male urethra mucous membrane|male urethra organ mucosa|mucous membrane of male urethra|organ mucosa of male urethra|mucosa of organ of male urethra|male urethra mucosa of organ|male urethra mucosa
autonomic nervous system;autonomic division of peripheral nervous system|visceral nervous system|peripheral autonomic nervous system|pars autonomica systematis nervosi peripherici|autonomic part of peripheral nervous system|divisio autonomica systematis nervosi peripherici|ANS|divisio autonomica systematis nervosi peripherici
natural killer cell mediated cytotoxicity;
pericranium;periosteum externum cranii
pyrenocyte;
cell line cell;
Sertoli cell;
material entity;
cardia of stomach;stomach cardiac region|cardial part of stomach|pars cardiaca (gaster)|pars cardiaca gastricae|gastric cardia|cardial orifice|antrum cardiacum|cardiac region|cardiac orifice|cardiac antrum
skeletal muscle tissue of pharynx;skeletal muscle tissue of pharynx|pharynx skeletal muscle|pharynx skeletal muscle tissue
chordamesoderm;axial chorda mesoderm|dorsal mesoderm|presumptive notochord|chorda mesoderm
intrapulmonary bronchus;
striated muscle cell;
abdomen nerve;nerve of abdomen
pancreas mesenchyme;
group 1 innate lymphoid cell;
Drosophilini;
cystic duct;ductus cysticus
immature CD14-positive dermal dendritic cell;
histaminergic neuron;
deviation(from_normal);
type D cell of stomach;stomach D-cell|delta cell of stomach|stomach delta cell
Metazoa;metazoans|multicellular animals|animals|Animalia
hip;regio coxae|hip region|coxa
vessel;
cloacal vent;cloacal opening|cloacal orifice|vent
prostate gland;male prostate|prostate|prostata
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains;
Eukaryota;eukaryotes|eucaryotes|eukaryotes|Eucaryotae|Eucarya|Eukarya|Eukaryotae
indole-containing compound metabolic process;
gland;glandular organ|Druese|glandula
multicellular organismal signaling;
integrin alpha with A domain;integrin alpha with I domain
pes bone;bone of pedal skeleton|bone of foot|foot bone|bone of foor proper or tarsal skeleton|bone of pes
crypt of Lieberkuhn of colon;colonic crypt of Lieberkuhn|colonic crypt
mesonephric glomerulus;glomerulus
CD38-positive unswitched memory B cell;CD38-positive unswitched memory B-lymphocyte|CD38-positive unswitched memory B lymphocyte|CD38+ unswitched memory B lymphocyte|CD38-positive unswitched memory B-cell|CD38+ unswitched memory B cell|CD38+ unswitched memory B-lymphocyte|CD38+ unswitched memory B-cell
oncocyte;oxyphil
class switched memory B cell;class switched memory B lymphocyte|class switched memory B-lymphocyte|class switched memory B-cell
Mysticeti;baleen whales
nonkeratinized epithelial cell of anal column;
nucleic acid metabolic process;
Coelacanthimorpha;fishes|lobe-finned fishes|fish|Crossopterygii|Choanichthyes|Actinistia
large intestine smooth muscle;smooth muscle tissue of large intestine|smooth muscle of large intestine|non-striated muscle of large intestine|large intestine non-striated muscle|large intestine involuntary muscle|large intestine smooth muscle tissue|involuntary muscle of large intestine
neural cell;
kidney cortex peritubular capillary cell;
endocrine cell;endocrinocyte
CD8alpha-positive thymic conventional dendritic cell;DC.8+.Th|CD8alpha-alpha-positive thymic conventional dendritic cell
positive regulation of biological process;
intervertebral cartilage;
transitional myocyte of ventricular part of atrioventricular bundle;
pigmented epithelial cell;
mesentery of midgut;midgut mesentery
CD7-positive lymphoid progenitor cell;CD7-positive lymphoid precursor
non-branched duct epithelial cell;
Cercopithecidae;Old World monkeys|monkeys|monkey
mucosa of ascending colon;mucous membrane of ascending colon|mucosa of organ of ascending colon|organ mucosa of ascending colon|ascending colon mucous membrane|ascending colon mucosa of organ|ascending colon mucosa|ascending colon organ mucosa
left lung bronchiole;lobular bronchiole of left lung|left lung lobular bronchiole|bronchiole of left lung
pelvic girdle skeleton;pelvic girdle skeleton|skeleton of pelvic girdle|skeletal parts of pelvic girdle|pelvic girdle
obsolete spore (sensu Mycetozoa);
resting double-positive thymocyte;T.DP.sm.Th
allantois;allantoic bud
myotome;myomeres|muscle plate|myotomus|myomere|myotomes|myotome region
lipid binding;
lamina propria of trachea;lamina propria mucosae of windpipe|trachea lamina propria|lamina propria of windpipe|lamina propria mucosae of trachea|trachea lamina propria mucosae|tracheal lamina propria|windpipe lamina propria|lamina propria mucosa of trachea|windpipe lamina propria mucosae|windpipe lamina propria mucosa|trachea lamina propria mucosa|lamina propria mucosa of windpipe
hemopoietic organ;organa haemopoietica organ|organ of haematological system|organ of haemopoietic system|organ of hematopoietic system|hematopoietic system organ|haematological system organ|hematopoeitic organ|organ of organa haemopoietica|haemopoietic system organ|lymphoid organ|lymph organ|hematopoeitic or lymphoid organ
mouth;regio oralis|adult mouth|stoma|cavitas oris|rima oris|cavital oralis|stomatodaeum|trophic apparatus|oral vestibule|vestibule of mouth|vestibulum oris|mouth cavity|oral region|cavum oris
detection of stimulus;
antigen processing and presentation of exogenous antigen;
unipotent;
positive regulation of developmental process;
general ecto-epithelial cell;
melanocyte stimulating hormone secreting cell;melanotrope|melanotroph
vasa recta descending limb;
articular system;joint system|set of all joints of body|set of joints of body|set of all joints
inner medulla vasa recta descending limb;
vasculature of organ;organ vasculature|set of blood vessels of organ
octopamine secretion;
serosa of fundus of stomach;visceral peritoneum of fundus of stomach
chordate pharynx;pharynx
truncus arteriosus;
coronary capillary;heart capillary
primitive reticulocyte;megalocyte
synovial joint;diarthrosis|articulatio synoviale|diarthroses|diarthrosis joint|diarthrodial joints
colon epithelial cell;colonic epithelial cell
lamina;laminar tissue
glomerular tuft;glomerular capillary tuft|glomerulus
Myxine;
epithelium of rectum;rectal epithelium|epithelial tissue of rectum|rectum epithelium|rectum epithelial tissue
Vgamma1.1-positive, Vdelta6.3-negative thymocyte;Vg1.1-positive, Vd6.3-negative T cell
paraganglion (generic);paraganglia
pectoral appendage muscle;
fusion competent myoblast;
bronchus connective tissue;bronchial trunk textus connectivus|bronchus textus connectivus|bronchial trunk portion of connective tissue|portion of connective tissue of bronchi|textus connectivus of bronchus|textus connectivus of bronchial trunk|portion of connective tissue of bronchus|bronchi connective tissue|bronchus portion of connective tissue|bronchial trunk connective tissue|connective tissue of bronchi|portion of connective tissue of bronchial trunk|bronchi textus connectivus|bronchi portion of connective tissue|connective tissue of bronchial trunk|connective tissue of bronchus|textus connectivus of bronchi|bronchial mesenchyme|bronchial connective tissue
lamina propria of small intestine;lamina propria of small bowel|lamina propria mucosae of small bowel|small bowel lamina propria|lamina propria mucosae of small intestine|lamina propria mucosa of small intestine|small intestine lamina propria mucosae|small bowel lamina propria mucosae|lamina propria mucosa of small bowel|small intestine lamina propria mucosa|small intestine lamina propria|lamina propria of mucosa of small intestine|small bowel lamina propria mucosa
regulation of leukocyte proliferation;
lymph node endothelium;endothelium of lymph node
Ornithorhynchidae;
entire pharyngeal arch endoderm;pharyngeal arch endoderm
extraembryonic tissue;extra-embryonic tissue
kidney cortex collecting duct principal cell;
pro-B cell;pre-pro B cell|pro-B-lymphocyte|pro-B lymphocyte|progenitor B lymphocyte|pro-B-cell|progenitor B-cell|progenitor B cell|progenitor B-lymphocyte|pre-B cell (Philadelphia nomenclature)
preodontoblast;
respiratory system;respiratory system|apparatus respiratorius|Atmungssystem|systema respiratorium|apparatus respiratorius
endocardium of right ventricle;right ventricular endocardium|right ventricle endocardium|right ventricle endocardial tissue|endocardial lining of right ventricle
arcuate artery endothelial cell;
endometrial stroma;endometrium stroma|stroma of endometrium
ventricular system of brain;brain ventricular system
skeletal system;skeleton system|set of all bones and joints|Skelettsystem
tube;anatomical tube|duct
cellular process involved in reproduction in multicellular organism;
glial cell;neuroglial cell|neuroglia
cyanoblast;
extrahepatic bile duct;bile duct extrahepatic part|extrahepatic biliary system
dentate gyrus of hippocampal formation stellate cell;
dorsal region element;back organ|dorsal region organ
kidney arcuate artery;arcuate artery|renal arcuate artery
type II cell of adrenal medulla;epiniphrine secreting cell of the adrenal medulla|adremergic chromaffin cell|adrenal secreting cell of the adrenal medulla
protein;
collecting duct of renal tubule;tubulus renalis arcuatus|tubulus renalis colligens|renal collecting tubule|kidney collecting duct|collecting duct|kidney collecting tubule|junctional tube|ureteric tree|collecting tubule|arcuate renal tubule|collecting duct system
type IV taste receptor cell;taste bud basal cell|type 4 taste cell
food storage organ;
transcription factor NF-kappa-B subunit;transcription factor NF-kappa-B
appendix glandular cell;vermiform appendix glandular cell|appendix glandular cells|caecal appendix glandular cell|cecal appendix glandular cell
lateral line;lateral lines
supporting cell of carotid body;carotid body sustentacular cell
somatic diversification of immune receptors via somatic mutation;
anterior lateral line primordium;anterior lateral line primordia
hydroxides;
hepatic oval stem cell;hepatic oval cell
eosinophilic metamyelocyte;
stratified squamous epithelium;epithelium stratificatum squamosum
prostate duct;prostate gland duct|prostatic duct|duct of prostate|prostate duct|duct of prostate gland
endodermal part of digestive tract;gut endoderm|endodermal gut
type 3 otic fibrocyte;type III spiral ligament fibrocyte|type III otic fibrocyte
sebaceous gland placode;
glomerular capillary endothelial cell;
mammotroph;epsilon-acidophil|mammotropic cell|mammotrophic cell|lactotropic cell|lactotrope|lactotroph|mammotrope
muscular coat;tunica muscularis|muscularis layer|muscular layer|transverse muscular fibers|tunica externa|muscular coat|muscularis propria|muscularis|muscularis externa|tunica muscularis
ligament;ligament organ
arterial blood vessel;
Gr1-high classical monocyte;
Caenorhabditis elegans;roundworm|Rhabditis elegans
intercalated disc;
eye trabecular meshwork;trabecular meshwork of the eye|reticulum trabeculare|eye trabecular meshwork|scleral trabeculae|trabecular meshwork|scleral trabecule|reticulum trabeculare sclerae|pectinate ligament of iris|pectinate ligament|scleral trabecular|ligamentum pectinatum iridis|ligamentum pectinatum|cribiform ligament|ligamentum pectinatum anguli iridocornealis|ligamentum peactin-tum iridis|trabecular mesh|Hueck's ligament|iridis|scribiform ligament
midbrain-hindbrain boundary;mid-hindbrain boundary|mid-hindbrain junction|midbrain hindbrain boundary|MHB|isthmo-cerebellar region|isthmus|isthmic organizer territory|isthmus/MHB
tether cell;
fibroblast of arm;
obsolete chemotactic amoeboid cell (sensu Mycetozoa);
diploid;
morula cell;
intromittent organ;penis|aedeagus|copulatory organ
skeleton of limb;free limb skeleton|set of bones of limb|limb skeleton
CD34-positive, CD38-negative multipotent progenitor cell;
epithelium of mammary gland;mammary epithelium|lactiferous gland epithelium|mammary gland epithelial tissue|epithelium of lactiferous gland|mammary gland epithelium
pinna hair;ear hair
chlamydospore;
surface groove;groove
ecdysteroid secretion;
vacuolar absorptive cell of epithelium proper of large intestine;enterocyte of epithelium proper of large intestine
nucleus pulposus cell of intervertebral disc;
pigmented layer of retina;pigmented retinal epithelium|pigmented retina epithelium|stratum pigmentosum (retina)|retinal pigmented epithelium|outer pigmented layer of retina|retinal pigment epithelium|stratum pigmentosum retinae|pigment epithelium of retina|pigmented retina|retinal pigment layer|epithelium, retinal pigment|p. pigmentosa retinae|pigmented epithelium|stratum pigmentosa retinae|PRE|RPE
immature eye;future eye
regulation of protein localization;
pulmonary vascular system;pulmonary circulatory system|pulmonary system
Mammalia;mammals|mammals
epithelium of bronchus;bronchi epithelium|epithelial tissue of bronchus|epithelial tissue of bronchi|bronchial trunk epithelium|bronchi epithelial tissue|bronchial trunk epithelial tissue|bronchus epithelial tissue|epithelial tissue of bronchial trunk|bronchus epithelium|bronchial epithelium|epithelium of bronchial trunk|epithelium of bronchi
protoneuromast;immature neuromast|proto-neuromast|proto neuromast
cranial cartilage;cranium cartilage|cartilage of cranium|cranial cartilages
hypothalamus;Hy|preoptico-hypothalamic region|preoptico-hypothalamic area|hypothalamus
late promyelocyte;
Euteleosteomorpha;
left lung associated mesenchyme;left lung mesenchyme
cardiac muscle tissue of interatrial septum;interatrial septum muscle|interatrial septum heart muscle|interatrial septum myocardium|interatrial septum cardiac muscle tissue
corneal epithelium;epithelium of cornea|epithelial tissue of cornea|epithelium anterius corneae|cornea epithelium|epithelium anterius (cornea)|external epithelium of cornea|cornea epithelial tissue|anterior corneal epithelium|epithelium corneæ anterior layer|e. anterius corneae|endothelium anterius corneae|endothelium camerae anterioris bulbi|endothelium corneale|epithelium posterius corneae|anterior endothelium of cornea
Anolis carolinensis;green anole|Carolina anole
mesonephric collecting duct;
basal cell of epidermis;
insulin secretion;
bone of pelvic complex;hindlimb bone
egg cell;ovum|mature oocyte
lobe of cerebral hemisphere;lobe parts of cerebral cortex|cerebral hemisphere lobe|cerebral lobe|lobi cerebri|lobe of cerebral cortex|lobes of the brain|cerebral cortical segment|segment of cerebral cortex|regional organ part of cerebral cortex
