Chlorpheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;; Oral Tablet ;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule;; ;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Benzocaine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Caffeine  ; Extended Release Capsule;;; Scopolamine Hydrobromide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;
caramiphen  ; Extended Release Capsule;;;; Iron Carbonyl  ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; ;; liver stomach concentrate  ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Extended Release Tablet; Potassium Iodide  ;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
diphenylpyraline  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Caffeine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Codeine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Hydrocodone  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
norfenefrine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Isopropamide  ; Extended Release Capsule;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Isopropamide  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Hydrochlorothiazide  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Bendroflumethiazide  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Hydrochlorothiazide  ; Extended Release Capsule;;;;;;; Pyridoxine Hydrochloride  ; ; Riboflavin  ; ; Thiamine Mononitrate  ; Oral Tablet ;;;;;;;;;;
Hydrochlorothiazide  ; Extended Release Capsule;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule;; ;;;;;;;;;;;;;;;;;;;;
 HR Cetirizine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
 HR dexbrompheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Ibuprofen  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Loratadine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Astemizole  ; Extended Release Capsule;;;; Injectable Solution;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Capsule;;;; Oral Solution ;;;;;;;;;;;;;;;;;;
Cetirizine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Extended Release Suspension ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Oral Suspension ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
dexbrompheniramine  ; Extended Release Capsule;; Oral Solution;;;;;;;;;;;;;;;;;;;;
dexchlorpheniramine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;; Oral Capsule ;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;; Oral Tablet ;;;;;;;;;;;;;;;;;;;;
Ibuprofen  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Loratadine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine Maleate  ; Extended Release Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine Maleate  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Brompheniramine Maleate  ; Extended Release Capsule;; Oral Solution;; Injectable Solution;;;;;;;;;;;;;;;;;;
Brompheniramine Maleate  ; Extended Release Capsule;;; Vitamin B   ; methyl salicylate  ;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule;; Oral Solution ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
Diphenhydramine Hydrochloride  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Terbutaline  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Ambroxol  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Terbutaline  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Ferrous fumarate  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Mazindol  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Phentermine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Phentermine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Furosemide  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Tranylcypromine  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Pseudoephedrine Hydrochloride  ; Extended Release Capsule;;; ;; ; Selenious Acid  ;;;;;;;;;;;;;;;;
Pseudoephedrine Hydrochloride  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
Hydrochlorothiazide  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR trandolapril  ; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;;;
trandolapril  ; Extended Release Capsule;;; Phytosterols  ;; Pyridoxine Hydrochloride  ; ;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Capsule ;;; Magnesium Chloride  MEQ;; Potassium Chloride  MEQ; ;;;;;;;;;;;;;;;;
 HR CARBETAPENTANE CITRATE  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
CARBETAPENTANE CITRATE  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Dextromethorphan  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Oral Tablet ;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Benserazide  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Morphine Sulfate  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule ;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule ;;; Extended Release Suspension;;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Capsule ;; Extended Release Suspension ;; Leucine ;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Capsule ;; Oral Suspension;; Leucine  ;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Capsule ;;;; Oral Tablet ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;; Oral Solution; Phenylephrine  ;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;; Oral Solution ; Phenylephrine  ;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
caramiphen  ; Extended Release Capsule ;;;; Iron Carbonyl  ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; ;; Isoleucine ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; ;; Isoleucine ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Oral Tablet ;;;;;;;;;;;;;;;;;;;;
diphenylpyraline  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Hydrochlorothiazide  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Hydrochlorothiazide  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Capsule ;;;; Oral Tablet;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Capsule ;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;; Oral Tablet ;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine Maleate  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule ;; ;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule ;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule ;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Capsule ;;;;;;; ; Niacinamide  ; ; Pantothenic Acid  ; ; pyridoxine  ; ; Riboflavin  ; ; Sodium Ascorbate  ; ; Thiamine  ; ; Vitamin B ;;
Brompheniramine Maleate  ; Extended Release Capsule ;; Oral Solution ;; Injectable Solution;;;;;;;;;;;;;;;;;;
Brompheniramine Maleate  ; Extended Release Capsule ;;; Vitamin B   ; methyl salicylate  ;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule ;; Oral Solution;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule ;; Oral Solution ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule ;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule ;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule ;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Capsule ;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
 HR Phentermine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Phentermine  ; Extended Release Capsule ;;;;;;;;;;;;;;;;;;;;;;
Chlorthalidone  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Allopurinol  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Ambroxol  ; Extended Release Oral Capsule;;; salicylamide  ;;;;;;;;;;;;;;;;;;;
Dihydroergotamine Mesylate  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Oral Capsule;;; ;; ; Pantothenic Acid  ;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Oral Capsule;; Lozenge; Copper Sulfate  ;; Ferrous fumarate  ; ;;;;;;;;;;;;;;;;
Docusate Sodium  ; Extended Release Oral Capsule;;; Lutein  ;; Sodium Selenite  ; ;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Ferrous fumarate  ; Extended Release Oral Capsule;;; mecobalamin  ;; Niacinamide  ; ;;;;;;;;;;;;;;;;
ferrous sulfate  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR CARBETAPENTANE CITRATE  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Dextromethorphan  ; Extended Release Oral Capsule;;;;;;; ; Folic Acid  ; ; Niacinamide  ; ; Pyridoxine Hydrochloride  ; ; retinyl palmitate  UNT; ; Ribo;;;;;;
CARBETAPENTANE CITRATE  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Dextromethorphan  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Dextromethorphan  ; Extended Release Oral Capsule;; Oral Suspension;;;;;;;;;;;;;;;;;;;;
Dextromethorphan  ; Extended Release Oral Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Diltiazem Hydrochloride  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR CHLORPHENIRAMINE POLISTIREX  ; Extended Release Oral Capsule;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
 HR CHLORPHENIRAMINE POLISTIREX  ; Extended Release Oral Capsule;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
CHLORPHENIRAMINE POLISTIREX  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Aspirin  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
Aspirin  ; Extended Release Oral Capsule;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Lactase  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Benserazide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Morphine Sulfate  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Atenolol  ; Extended Release Oral Capsule;;; Oral Tablet;;;;;;;;;;;;;;;;;;;
Metoprolol  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Escin  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Belladonna Alkaloids  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Hyoscyamine Sulfate  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Oral Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Oral Capsule;; Oral Suspension ;; Leucine  ;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Oral Capsule;;;; Oral Tablet ;;;;;;;;;;;;;;;;;;
carbinoxamine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Tablet ;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Oral Capsule;; Oral Solution ;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Capsule;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Ascorbic Acid  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Benzocaine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Oral Capsule;;; Scopolamine Hydrobromide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;
Caffeine  ; Extended Release Oral Capsule;;;; Iron Carbonyl ;;;;;;;;;;;;;;;;;;
caramiphen  ; Extended Release Oral Capsule;;;; Iron Carbonyl  ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; ;; liver stomach concentrate  ;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Suspension;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; Oral Tablet; Potassium Iodide  ;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
diphenylpyraline  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Oral Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Caffeine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Codeine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Hydrocodone  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
norfenefrine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Isopropamide  ; Extended Release Oral Capsule;; Oral Tablet ;;;;;;;;;;;;;;;;;;;;
Isopropamide  ; Extended Release Oral Capsule;; Oral Tablet;;;;;;;;;;;;;;;;;;;;
Isopropamide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Hydrochlorothiazide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Bendroflumethiazide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Hydrochlorothiazide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Brompheniramine  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
 HR Cetirizine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR dexbrompheniramine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Ibuprofen  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Loratadine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Astemizole  ; Extended Release Oral Capsule;;;; Injectable Solution;;;;;;;;;;;;;;;;;;
Brompheniramine  ; Extended Release Oral Capsule;;;; Oral Tablet;;;;;;;;;;;;;;;;;;
Cetirizine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;; Oral Suspension;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
dexbrompheniramine  ; Extended Release Oral Capsule;; Oral Solution;;;;;;;;;;;;;;;;;;;;
dexchlorpheniramine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Oral Capsule;; Oral Capsule ;;;;;;;;;;;;;;;;;;;;
Ibuprofen  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Loratadine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Oral Capsule;; ;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Oral Capsule;; Extended Release Oral Tablet;;;;;;;;;;;;;;;;;;;;
 HR Chlorpheniramine Maleate  ; Extended Release Oral Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Oral Capsule;; Oral Solution;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Chlorpheniramine Maleate  ; Extended Release Oral Capsule;; Extended Release Tablet;;;;;;;;;;;;;;;;;;;;
 HR Guaifenesin  ; Extended Release Oral Capsule;;;;;;; Tocopherol Acetate  UNT ; zeaxanthin  ; ; Zinc Oxide  ; Oral Capsule ;;;;;;;;;;;
 HR Terbutaline  ; Extended Release Oral Capsule;;;;;;; Tocopherol Acetate  UNT ; zeaxanthin  ; ; Zinc Oxide  ; Oral Capsule;;;;;;;;;;;
Ambroxol  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Guaifenesin  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Terbutaline  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Ferrous fumarate  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Mazindol  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Furosemide  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
Tranylcypromine  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
 HR Pseudoephedrine Hydrochloride  ; Extended Release Oral Capsule;;; ;; ; Selenious Acid  ;;;;;;;;;;;;;;;;
Pseudoephedrine Hydrochloride  ; Extended Release Oral Capsule;;;;;;;;;;;;;;;;;;;;;;
